Domain,Number of Trackers,Associated Company
128.116.36.6,1,Roblox Corporation
12gigs.com,1,Superfree Games
146.0.234.215,1,Unity Technologies SF
172.105.249.25,1,Linode
172.105.251.170,1,Linode
172.105.251.35,1,Linode
2mdn.net,1,Google
2talk.com,1,2talk
47.254.69.95,1,Alibaba Group
aarki.net,4,Aarki
adcolony.com,7,AdColony
adjust.com,3,Adjust
admarvel.com,2,Admarvel
adrta.com,5,Pixalate
adsafeprotected.com,5,Integral Ad Science
adsmoloco.com,2,Moloco
adsrvr.org,5,The Trade Desk
adtilt.com,1,"Domains By Proxy, LLC"
aebc.com,1,AEBC Internet Corporation
aesthetics.wtf,1,"GoDaddy.com, LLC"
agkn.com,1,Neustar
aihelp.net,2,AIHelp
akamaihd.net,1,Akamai Technologies
akamaized.net,1,Akamai Technologies
aliyuncs.com,1,Alibaba Group
amanotes.net,2,Amanotes Pte. Ltd.
amazon-adsystem.com,2,Amazon
amazonaws.com,8,Amazon
amplitude.com,2,Amplitude
anzu.io,4,Anzu Virtual Reality LTD
appcenter.ms,1,Microsoft Corporation
applike-marketing.info,1,Applike Group
applovin.com,5,AppLovin
applvn.com,1,AppLovin
appsflyer.com,9,AppsFlyer
appspot.com,1,Google
arkoselabs.com,1,Arkose Labs
atom-data.io,1,WhoisGuard
bidmachine.io,2,Stack Solutuions
bidswitch.net,4,Bidswitch
blismedia.com,1,Blis Global Ltd
bluekai.com,1,Oracle
branch.io,2,Branch
byteoversea.com,1,Bytedance
celtra.com,3,Celtra
chartboost.com,2,Chartboost
chess.com,1,Chess.com
chesscomfiles.com,1,Chess.com
cloudflare.com,1,Cloudflare
cloudfront.net,6,Amazon
counterpath.com,1,CounterPath Unified Communications
crashlytics.com,1,Google
criteo.com,6,Criteo SA
criteo.net,4,Criteo SA
cs30.net,1,ShareFun Network Limited
deltadna.net,2,deltaDNA
demdex.net,1,Adobe
dns.google,1,Google
doubleclick.net,7,Google
doubleverify.com,6,DoubleVerify
dspunion.com,3,Mobvista
elexapp.com,3,Elex-Tech Ltd
eleximg.com,1,Elex-Tech Ltd
elex-tech.net,2,Elex-Tech Ltd
evidon.com,2,Evidon
exelator.com,1,The Nielsen Company
extreme-ip-lookup.com,1,eXTReMe digital
facebook.com,4,Facebook
facebook.net,1,Facebook
fbcdn.net,3,Facebook
flashtalking.com,2,Flashtalking
flurry.com,1,Verizon Media
fqtag.com,3,Impact
ftyapp.com,2,FTY LLC
gameanalytics.com,1,GameAnalytics
gameforeveryone.com,1,NameCheap
gameguru.mobi,1,Lion Studios
gategta.com,1,NameCheap
geoedge.be,2,GeoEdge Ltd
gjg.io,1,Good Job Games
gjg-tech.io,1,Good Job Games
google.com,4,Google
googleadservices.com,1,Google
googleapis.com,5,Google
googlesyndication.com,2,Google
googleusercontent.com,4,Google
googlevideo.com,4,Google
gradwell.com,1,Gradwell Communications
gstatic.com,2,Google
helpshift.com,4,Helpshift
ibytedtos.com,2,Bytedance
imrworldwide.com,1,The Nielsen Company
inmobi.com,5,InMobi Pte Ltd
inner-active.mobi,6,"Domains By Proxy, LLC"
ipinfo.io,1,IPInfo
isnssdk.com,1,Bytedance
isprog.com,1,CommuniGal Communication Ltd.
iymedia.me,1,IY Media
jampp.com,3,Jampp Ltd
jquery.com,1,OpenJS Foundation
jsdelivr.net,1,WhoisGuard
jumblo.com,1,Dellmont
justservingfiles.net,1,HQ Entertainment Network
justtrack.io,3,Applike Group
kochava.com,3,PLAYXPERT
kwalee.com,2,Kwalee Ltd
lfstmedia.com,3,LifeStreet
libsyn.com,1,Libsyn
liftoff.io,4,Liftoff
loopme.com,1,LoopMe
loopme.me,1,LoopMe
loopmeedge.net,1,LoopMe
lunalabs.io,1,Luna Labs
manage.com,1,Criteo SA
mdspinc.com,1,Bidease
mindworks-creative.com,1,Mintegral
minkatu.com,1,WhoisGuard
mixpanel.com,1,Mixpanel
moatads.com,6,Oracle
moatpixel.com,1,Oracle
mobilegamestats.com,3,Privacy Protection Service
mobvista.com,1,Mobvista
moonactive.net,3,Moon Active
mopub.com,1,Twitter
nas.net,1,Tucows Domains
nexage.com,1,Verizon Media
ntp.org,1,Network Time Foundation
oath.com,1,Verizon Media
ogury.co,2,Ogury Ltd
on-device.com,2,On Device Research Ltd
onesignal.com,1,OneSignal
openx.net,1,OpenX Software Ltd
ourcdndata.download,1,Porkbun
pangle.io,1,Bytedance
pk-live.cn,2,Gamegou
pmosvc.io,2,Unknown
presage.io,8,Ogury Ltd
pubnative.net,1,PubNative
qq.com,1,"Shenzhen Tencent Computer Systems CO.,Ltd"
qriously.com,2,Qriously
rayjump.com,9,Mobvista
rbxcdn.com,4,Roblox Corporation
redgifs.com,1,Contact Privacy
rivergame.net,5,Rivergame.net
